SKU,Name,Category,Brand,Seller,Color,Balance,Balance FBS,Comments,Final price,Max price,Min price,Average price,Sales,Revenue,Revenue potential,Revenue average,Lost profit,Lost profit percent,URL,Thumb,Days in stock,Days with sales,Average if in stock,Rating,Basic Sale,Basic Sale Price,Promo Sale,Base price,SPP,SPP Price,FBS,Subject ID,Category Position,Categories Last Count,Sales Per Day Average,Country,Gender,First Date,First Comment Date,Pics Count,Has 3D,Hax Video,Comments Valuation,Card Rating,Subject,Purchase,Purchase After Return,13.02.2023 Sales,14.02.2023 Sales,15.02.2023 Sales,16.02.2023 Sales,17.02.2023 Sales,18.02.2023 Sales,19.02.2023 Sales,20.02.2023 Sales,21.02.2023 Sales,22.02.2023 Sales,23.02.2023 Sales,24.02.2023 Sales,25.02.2023 Sales,26.02.2023 Sales,27.02.2023 Sales,28.02.2023 Sales,01.03.2023 Sales,02.03.2023 Sales,03.03.2023 Sales,04.03.2023 Sales,05.03.2023 Sales,06.03.2023 Sales,07.03.2023 Sales,08.03.2023 Sales,09.03.2023 Sales,10.03.2023 Sales,11.03.2023 Sales,12.03.2023 Sales,13.03.2023 Sales,14.03.2023 Sales,13.02.2023 Revenue,14.02.2023 Revenue,15.02.2023 Revenue,16.02.2023 Revenue,17.02.2023 Revenue,18.02.2023 Revenue,19.02.2023 Revenue,20.02.2023 Revenue,21.02.2023 Revenue,22.02.2023 Revenue,23.02.2023 Revenue,24.02.2023 Revenue,25.02.2023 Revenue,26.02.2023 Revenue,27.02.2023 Revenue,28.02.2023 Revenue,01.03.2023 Revenue,02.03.2023 Revenue,03.03.2023 Revenue,04.03.2023 Revenue,05.03.2023 Revenue,06.03.2023 Revenue,07.03.2023 Revenue,08.03.2023 Revenue,09.03.2023 Revenue,10.03.2023 Revenue,11.03.2023 Revenue,12.03.2023 Revenue,13.03.2023 Revenue,14.03.2023 Revenue,13.02.2023 Stocks,14.02.2023 Stocks,15.02.2023 Stocks,16.02.2023 Stocks,17.02.2023 Stocks,18.02.2023 Stocks,19.02.2023 Stocks,20.02.2023 Stocks,21.02.2023 Stocks,22.02.2023 Stocks,23.02.2023 Stocks,24.02.2023 Stocks,25.02.2023 Stocks,26.02.2023 Stocks,27.02.2023 Stocks,28.02.2023 Stocks,01.03.2023 Stocks,02.03.2023 Stocks,03.03.2023 Stocks,04.03.2023 Stocks,05.03.2023 Stocks,06.03.2023 Stocks,07.03.2023 Stocks,08.03.2023 Stocks,09.03.2023 Stocks,10.03.2023 Stocks,11.03.2023 Stocks,12.03.2023 Stocks,13.03.2023 Stocks,14.03.2023 Stocks
87682146,Купальник слитный  пуш ап женский ,Женщинам/Пляжная мода/Купальники/Слитный купальник,Hues_boutique_trend,Степанов П. А,фуксия,548,229,784,2640,2640,2200,2443.5241,498,1216875,1216875,"40562,5",0,0,https://www.wildberries.ru/catalog/87682146/detail.aspx,https://basket-05.wb.ru/vol876/part87682/87682146/images/c246x328/1.jpg,30,30,"16,6",5,52,2640,0,5500,17,2191,1,90,55,2,"16,6",Китай,Женский,2022-06-19,2022-06-23,4,0,1,"4,6",87,Белье / Слитный купальник,46,41,25,27,17,13,9,14,25,13,5,17,7,11,13,26,14,31,17,25,23,14,13,10,1,4,10,33,37,13,14,17,59125,63855,42075,32175,22275,34650,61875,32175,12375,42075,17325,27225,32175,64350,34650,76725,42075,61875,56925,34650,32175,24750,2475,9900,24750,72600,83435,34320,36960,44880,62,50,43,40,45,74,58,54,60,63,63,156,345,323,313,287,276,263,255,304,298,340,445,480,473,449,442,504,544,548
79831141,Купальник женский слитные утягивающие сплошной в бассейн,Женщинам/Пляжная мода/Купальники/Слитный купальник,MadeInLove,ИП Власова Н В,черный,731,0,349,2464,2624,2464,2560.8408,471,1206156,"1247747,5862","40205,2","41591,5862","3,3333",https://www.wildberries.ru/catalog/79831141/detail.aspx,https://basket-05.wb.ru/vol798/part79831/79831141/images/c246x328/1.jpg,29,29,"16,2414",5,68,2464,0,7700,23,1897,1,90,53,2,"15,7",Китай,Женский,2022-05-19,2022-05-23,9,0,1,"4,8",97,Белье / Слитный купальник,46,41,23,18,20,10,19,18,14,26,11,11,10,10,22,17,19,14,20,12,15,18,0,16,9,13,16,13,21,21,10,25,57753,45198,50220,25110,47709,45198,35154,65676,27786,28864,26240,25420,55924,44608,49856,36736,52480,31488,39360,47232,0,41216,23184,33488,41216,33488,54096,54096,25760,61600,459,447,435,435,430,425,622,603,596,597,600,593,577,565,556,549,535,526,565,802,0,780,774,769,763,759,745,730,742,731
76033602,Купальник раздельный женский большие размеры ,Женщинам/Пляжная мода/Купальники/Раздельный купальник,Delyamer swim,ИП Медведев А Л,черный,460,1,1140,2182,2619,2182,2430.8488,496,1205701,1205701,"40190,0333",0,0,https://www.wildberries.ru/catalog/76033602/detail.aspx,https://basket-05.wb.ru/vol760/part76033/76033602/images/c246x328/1.jpg,30,30,"16,5333",5,55,2182,0,4850,23,1680,1,89,26,2,"16,5333",Китай,Женский,2022-05-07,2022-05-19,4,0,1,"4,8",90,Белье / Раздельный купальник,42,38,9,12,11,9,9,19,11,4,13,11,11,14,14,3,13,13,23,21,18,19,18,22,13,14,23,14,20,48,32,35,23571,31428,28809,23571,23571,49761,28809,10476,34047,28809,28809,36666,36666,7857,34047,34047,53544,48888,41904,44232,41904,51216,30264,32592,60237,36666,52380,104736,69824,76370,619,611,598,591,585,566,559,631,618,610,597,586,582,676,664,655,629,613,601,583,568,550,535,528,566,559,545,511,483,460
72808603,Купальник женский / купальник слитный для бассейна закрытый ,Женщинам/Пляжная мода/Купальники/Слитный купальник,sanji,Sanji,черный,7,0,203,2099,2099,1763,1882.0338,621,1168743,1168743,"38958,1",0,0,https://www.wildberries.ru/catalog/72808603/detail.aspx,https://basket-05.wb.ru/vol728/part72808/72808603/images/c246x328/1.jpg,30,30,"20,7",5,25,2099,0,2799,23,1616,1,90,48,2,"20,7",Китай,Женский,2022-04-05,2022-05-03,7,0,0,"4,9",73,Белье / Слитный купальник,46,41,26,28,18,33,24,28,36,25,37,26,34,34,22,45,24,19,11,14,12,18,13,12,9,16,10,10,8,9,8,12,45838,49364,31734,58179,42312,49364,63468,44075,65231,45838,59942,62798,40634,86895,46344,36689,23089,29386,25188,37782,27287,25188,18891,33584,20990,20990,16792,18891,16792,25188,404,381,369,342,325,304,271,256,227,204,171,136,123,75,49,42,38,44,34,25,22,25,26,17,16,11,6,7,13,7
113737033,Слитный Купальник,Женщинам/Пляжная мода/Купальники/Слитный купальник,BY TATYANA DMITRIYEVA,ИП Дмитриева,фуксия,281,0,1250,3500,3500,3500,3500.0,330,1155000,1155000,38500,0,0,https://www.wildberries.ru/catalog/113737033/detail.aspx,https://basket-08.wb.ru/vol1137/part113737/113737033/images/c246x328/1.jpg,30,30,11,5,30,3500,0,5000,24,2660,1,90,93,2,11,Россия,Женский,2022-08-02,2021-11-16,5,0,0,"4,5",70,Белье / Слитный купальник,46,41,14,13,24,10,9,6,15,10,14,9,11,11,7,23,7,8,16,10,7,16,9,7,5,9,8,6,10,12,12,12,49000,45500,84000,35000,31500,21000,52500,35000,49000,31500,38500,38500,24500,80500,24500,28000,56000,35000,24500,56000,31500,24500,17500,31500,28000,21000,35000,42000,42000,42000,461,452,429,418,414,407,392,386,375,376,370,363,359,339,336,336,327,324,324,315,308,307,310,309,304,304,295,292,289,281
28754784,Слитный купальник женский утягивающий спорт большие размеры,Женщинам/Пляжная мода/Купальники/Слитный купальник,Pantacolla,ИП Суряднов Михаил Андреевич,сливовый,296,0,1945,2944,2944,2944,2944.0,392,1154048,"1193842,7586","38468,2667","39794,7586","3,3333",https://www.wildberries.ru/catalog/28754784/detail.aspx,https://basket-02.wb.ru/vol287/part28754/28754784/images/c246x328/1.jpg,29,30,"13,0345",5,41,2944,0,4990,23,2266,1,90,71,2,"13,0667",Россия,Женский,2021-06-08,2021-06-20,6,0,1,"4,5",97,Белье / Слитный купальник,46,41,6,14,6,18,6,14,17,11,12,16,10,13,3,17,8,20,18,19,13,18,13,12,8,25,17,14,9,14,13,8,17664,41216,17664,52992,17664,41216,50048,32384,35328,47104,29440,38272,8832,50048,23552,58880,52992,55936,38272,52992,38272,35328,23552,73600,50048,41216,26496,41216,38272,23552,195,187,182,164,185,173,158,187,180,167,163,158,161,151,155,141,157,140,135,122,118,201,200,184,226,0,222,215,286,296
12058295,купальник слитный,Женщинам/Пляжная мода/Купальники/Слитный купальник,miko wear,ИП Мизгирева Анастасия Андреевна,черный,137,0,1482,4039,4039,4039,4039.0,283,1143037,"1905061,6667","38101,2333","762024,6667",40,https://www.wildberries.ru/catalog/12058295/detail.aspx,https://basket-01.wb.ru/vol120/part12058/12058295/images/c246x328/1.jpg,18,17,"15,5",5,12,4039,0,4590,24,3069,1,90,52,2,"9,4333",Россия,Женский,2020-06-15,2020-06-25,12,0,0,"4,6",80,Белье / Слитный купальник,46,41,0,0,0,0,0,4,8,5,5,3,1,0,0,0,0,0,0,0,0,29,32,25,15,25,42,24,9,27,14,15,0,0,0,0,0,16156,32312,20195,20195,12117,4039,0,0,0,0,0,0,0,0,117131,129248,100975,60585,100975,169638,96936,36351,109053,56546,60585,0,0,0,0,25,21,13,8,3,0,0,0,0,0,0,0,0,179,138,109,292,267,252,227,183,164,158,139,138,137
48636408,Раздельный купальник,Женщинам/Пляжная мода/Купальники/Раздельный купальник,FIANETA,ИП Иванов Николай Веннадьевич,"черный,желтый",161,2,132,5596,6795,5596,6120.3011,186,1138376,1138376,"37945,8667",0,0,https://www.wildberries.ru/catalog/48636408/detail.aspx,https://basket-04.wb.ru/vol486/part48636/48636408/images/c246x328/1.jpg,30,30,"6,2",4,30,5596,0,7995,24,4253,1,89,69,2,"6,2",Литва,Женский,2022-02-06,2022-02-27,3,0,0,"4,4",77,Белье / Раздельный купальник,42,38,4,4,1,8,6,5,8,9,3,10,6,9,4,2,4,1,8,8,5,12,7,5,3,3,10,9,6,11,6,9,23984,27180,6795,54360,40770,33975,54360,61155,20385,67950,40770,61155,27180,13590,27180,6795,44768,44768,27980,67152,39172,27980,16788,16788,55960,50364,33576,61556,33576,50364,267,265,270,263,259,256,251,241,241,232,229,225,225,227,225,227,220,219,219,207,204,203,204,204,197,187,181,170,167,161
80904664,Слитный купальник сексуальный шелковый материал с декольте утягивающий эффект на пляж и в бассейн,Женщинам/Пляжная мода/Купальники/Слитный купальник,SUNLUX,ИП Валерия,черный,36,0,327,2500,2500,2500,2500.0,452,1130000,1130000,"37666,6667",0,0,https://www.wildberries.ru/catalog/80904664/detail.aspx,https://basket-05.wb.ru/vol809/part80904/80904664/images/c246x328/1.jpg,30,30,"15,0667",5,75,2500,0,10000,23,1925,1,90,192,2,"15,0667",Россия,Женский,2022-05-18,2022-05-20,14,0,1,"4,9",100,Белье / Слитный купальник,46,41,28,26,18,22,10,21,25,10,22,18,9,11,13,19,17,18,19,11,14,11,9,12,6,8,16,14,11,16,7,11,70000,65000,45000,55000,25000,52500,62500,25000,55000,45000,22500,27500,32500,47500,42500,45000,47500,27500,35000,27500,22500,30000,15000,20000,40000,35000,27500,40000,17500,27500,139,136,125,110,134,141,112,117,108,97,98,109,110,95,93,76,68,61,53,52,51,48,61,61,53,45,37,33,34,36
25784152,Купальник женский слитный с чашками для бассейна открытый,Женщинам/Пляжная мода/Купальники/Слитный купальник,Bona Fide,ИП Зайцев Денис Владимирович,черный,10,0,323,4950,4950,4950,4950.0,228,1128600,"1209214,2857",37620,"80614,2857","6,6667",https://www.wildberries.ru/catalog/25784152/detail.aspx,https://basket-02.wb.ru/vol257/part25784/25784152/images/c246x328/1.jpg,28,30,"7,6071",4,0,4950,0,4950,24,3762,1,90,136,2,"7,6",Россия,Женский,2021-04-20,2021-04-27,15,0,1,"4,2",93,Белье / Слитный купальник,46,41,7,9,4,14,3,9,8,7,8,15,8,6,7,12,3,5,3,3,3,1,9,9,3,12,12,11,14,9,6,8,34650,44550,19800,69300,14850,44550,39600,34650,39600,74250,39600,29700,34650,59400,14850,24750,14850,14850,14850,4950,44550,44550,14850,59400,59400,54450,69300,44550,29700,39600,2,2,4,43,46,42,35,28,24,12,7,7,4,0,1,1,1,2,0,69,61,56,58,49,35,30,17,13,15,10
